overall,verified,reviewTime,reviewerID,asin,reviewerName,reviewText,summary,unixReviewTime,style_Style:,style_Size:,style_Color:,vote,image,style_Size Name:,style_Style Name:,style_Package Quantity:,review_length,sentiment
5.0,True,"08 22, 2013",A34A1UP40713F8,B00009W3I4,James. Backus,I like this as a vent as well as something that will keep house warmer in winter.  I sanded it and then painted it the same color as the house.  Looks great.,Great product,1377129600, Dryer Vent,,,,,,,,157,Positive
5.0,True,"02 8, 2016",A1AHW6I678O6F2,B00009W3PA,kevin.,good item,Five Stars,1454889600,, 6-Foot,,,,,,,9,Positive
5.0,True,"08 5, 2015",A8R48NKTGCJDQ,B00009W3PA,CDBrannom,Fit my new LG dryer perfectly.,Five Stars,1438732800,, 6-Foot,,,,,,,30,Positive
5.0,True,"04 24, 2015",AR3OHHHW01A8E,B00009W3PA,Calvin E Reames,Good value for electric dryers,Perfect size,1429833600,, 6-Foot,,,,,,,30,Positive
5.0,True,"03 21, 2015",A2CIEGHZ7L1WWR,B00009W3PA,albert j. kong,Price and delivery was excellent.,Five Stars,1426896000,, 6-Foot,,,,,,,33,Positive
5.0,True,"12 26, 2013",A1RQQV9HYHDHDN,B00009W3PA,Adam Baer,I purchasaed a new dryer and did not want to reuse the cord from my old unit. This unit installed in a pretty straight forward manor. Quality was as expected. No Complaints,Easy install,1388016000,, 6-Foot,,,,,,,172,Positive
4.0,True,"08 2, 2016",A1OB2H416ARLFJ,B0009GVYNW,Commando Big,Good value.,Good value for the price.,1470096000,,,,,,,,,11,Positive
2.0,False,"07 6, 2017",A3LGZ8M29PBNGG,B000N6302Q,nerenttt,works great. we loved ours! till we didn't.  these do not last so buy the warranty as you WILL NEED IT.,"the five star posts are from new owners, the rest from disgruntle owners 6 months in with broken icemaker!",1499299200,,, Blue,,,,,,103,Negative
5.0,True,"04 30, 2016",A3GP2HMB2AFOKF,B000NCTOUM,Juan,Great product,Five Stars,1461974400,,,,,,,,,13,Positive
5.0,True,"11 11, 2015",AR3OHHHW01A8E,B000NCTOUM,Calvin E Reames,Did the job for fixing our Maytag dryer,Works on a Maytag also,1447200000,,,,,,,,,39,Positive
2.0,True,"08 24, 2015",AJPRN1TD1A0SD,B000NCTOUM,transporter,cheap,Two Stars,1440374400,,,,,,,,,5,Negative
5.0,True,"01 7, 2015",A1AJW9DILZFTQI,B000NCTOUM,Riteway Appliance,Great deal and fast shipping!,Five Stars,1420588800,,,,,,,,,29,Positive
5.0,True,"12 3, 2014",A11SCLK8GDDN3C,B000NCTOUM,mrclobhead,"All was fine, product was as advertised.",Five Stars,1417564800,,,,,,,,,40,Positive
5.0,True,"11 21, 2014",A1LN48DHHCKLR3,B000NCTOUM,Ernest Danel,received ok,Five Stars,1416528000,,,,,,,,,11,Positive
4.0,True,"08 30, 2014",A34A1UP40713F8,B000NCTOUM,James. Backus,A spare thermofuse.  Two years ago my dryer spun but there was no heat.  I got a service tech undid the back and changed it in seconds.  So I decided for the price I ordered a spare just in case.,A spare thermofuse. Two years ago my dryer spun ...,1409356800,,,,,,,,,195,Positive
4.0,True,"04 9, 2017",A1T1YSCDW0PD25,B000XTJRRA,Lantana Al,"I like this unit but am deducting one star because of the limited viewing angles. When you view from the sides or from the top or bottom, the display becomes much more difficult to read. It's not nearly as clear as the product photos. The display is also rather glossy to you wouldn't want it reflecting something bright, like a window.",Good product but limited viewing angles,1491696000,,,,,,,,,336,Positive
5.0,False,"10 10, 2014",A26M3TN8QICJ3K,B000XXWOGW,Marty Baker,Great. Just what I needed.,Five Stars,1412899200,,,,,,,,,26,Positive
3.0,True,"08 29, 2014",A1H2V1GNEY4LZ0,B000XXWOGW,Handyman,The connect did not match up where I had to modidify it to work.,Good delivery for the price.,1409270400,,,,,,,,,64,Neutral
1.0,True,"11 2, 2013",A2HDUVKXR5CM7H,B000XXWOGW,MIKE,"see original remarks, made the mistake of buying it again from same dealer same problems different machine.  Save your money !!",garbage,1383350400,,,,,,,,,127,Negative
3.0,True,"09 17, 2015",A1HWFUO5PKB2RW,B000XXYUSM,Greg bernal,they ok parts,Three Stars,1442448000,,,,,,,,,13,Neutral
5.0,True,"11 21, 2014",A1LN48DHHCKLR3,B000XXYUSM,Ernest Danel,received ok,Five Stars,1416528000,,,,,,,,,11,Positive
5.0,True,"11 1, 2015",A1RQQV9HYHDHDN,B00126NABC,Adam Baer,"Worked as expected, quality GE product. Water tastes good. Would recommend and will buy again.",Easy install,1446336000,,,,,,,,,94,Positive
4.0,True,"09 12, 2011",A26Y776G7VVBCQ,B00126NABC,JPM,Works great. Best price I could find on the internest. Shipped quickly with no problems. Will buy this again in 8 months when I need another one.,Perfect Fit and OEM part,1315785600,,,,,,,,,145,Positive
4.0,True,"06 6, 2013",A1OB2H416ARLFJ,B00149JVOC,Commando Big,I only use the namebrand filters. I believe that you get what you pay for and I have used these filters for years. They suit my needs.,ONLY One I use,1370476800,,,,,,,,,134,Positive
5.0,True,"11 27, 2014",A3NHUQ33CFH3VM,B0014CN8Y8,Greeny,"This is a complete kit for cleaning the dryer vents, a necessary thing. I had checked all the products and this was the best deal at the time I got it.",Complete kit for cleaning out dryer vents,1417046400,,,,,,,,,151,Positive
5.0,True,"11 17, 2015",A34A1UP40713F8,B000VL060M,James. Backus,I bought a new range hood and found I needed a filter as it did not come with it.  I looked at it at Home Depot for about 9 dollars more then using Amazon Prime and having it the door within 2 days. It fit perfectly our new hood.,I bought a new range hood and found I needed ...,1447718400,,,,,,,,,229,Positive
5.0,True,"03 8, 2015",A3B1B4E184FSUZ,B000VL060M,jobeck1,A+,Five Stars,1425772800,,,,,,,,,2,Positive
5.0,True,"08 29, 2014",A1H2V1GNEY4LZ0,B0015S4KIO,Handyman,Fitted perfectly!,Very reasonable priced!,1409270400,,,,,,,,,17,Positive
5.0,True,"07 3, 2016",A1RQQV9HYHDHDN,B0015UGPWQ,Adam Baer,"Moved into new apt, needed dryer vent hose, this fit the bill. The compression clamps made install a snap.",Quick and easy install,1467504000,,,,,, 4 Inch,,,106,Positive
5.0,True,"01 21, 2016",A1AHW6I678O6F2,B0015UGPWQ,kevin.,very nice product,Five Stars,1453334400,,,,,, 4 Inch,,,17,Positive
5.0,True,"08 5, 2015",A8R48NKTGCJDQ,B0015UGPWQ,CDBrannom,Fits perfectly,Five Stars,1438732800,,,,,, 4 Inch,,,14,Positive
5.0,True,"04 24, 2015",AR3OHHHW01A8E,B0015UGPWQ,Calvin E Reames,Easy install on dryer,Don't forget when to install the securing devices,1429833600,,,,,, 4 Inch,,,21,Positive
5.0,True,"03 8, 2015",A3B1B4E184FSUZ,B0015UGPWQ,jobeck1,A+,Five Stars,1425772800,,,,,, 4 Inch,,,2,Positive
4.0,True,"08 22, 2013",A34A1UP40713F8,B0015UGPWQ,James. Backus,I did not use the clamps but rather used the screw clamps I had .  Fits well and was the proper height.,Worked,1377129600,,,,,, 4 Inch,,,103,Positive
5.0,True,"01 21, 2016",A1AHW6I678O6F2,B001769IVI,kevin.,a must for washers,Five Stars,1453334400,,,,,,,,,18,Positive
5.0,True,"08 16, 2015",A1Y4UNHRP312HS,B001769IVI,Colorado Jerry,I used these (2) hoses to replace the original equipment rubber hoses. My previous experience with these hoses gave me peace of mind when I would be away from my home for extended vacations. I expect years of leak-free use.,I used these (2) hoses to replace the original equipment ...,1439683200,,,,,,,,,223,Positive
3.0,True,"08 5, 2015",A8R48NKTGCJDQ,B001769IVI,CDBrannom,A hose was included with our machine so we didn't need this. Otherwise it would have been fine.,Otherwise it would have been fine.,1438732800,,,,,,,,,95,Neutral
4.0,True,"04 3, 2014",A1OB2H416ARLFJ,B00186NSGS,Commando Big,"Very hard to come by, but worth it.",A must buy for any stove,1396483200,,, Black,,,,,,35,Positive
